#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         246   -0.396666   -0.413942  0.00316798
         247   -0.419177   -0.413963  0.00315522
         248   -0.420877   -0.413991  0.00314262
         249   -0.344807   -0.413713  0.00314226
         250   -0.434386   -0.413796  0.00313078
         251   -0.390909   -0.413705  0.00311963
         252   -0.337559   -0.413402  0.00312185
         253   -0.360313   -0.413193  0.00311656
         254   -0.440637   -0.413301  0.00310616
         255   -0.379032   -0.413166  0.00309688
         256   -0.394616   -0.413094  0.00308563
         257   -0.444924   -0.413218  0.00307611
         258   -0.449501   -0.413358   0.0030674
         259    -0.45622   -0.413524  0.00306002
         260   -0.432285   -0.413596   0.0030491
         261   -0.391132    -0.41351  0.00303863
         262   -0.481599    -0.41377  0.00303813
         263   -0.417249   -0.413783  0.00302661
         264   -0.435762   -0.413866  0.00301629
         265   -0.416924   -0.413878  0.00300493
         266   -0.471691   -0.414095  0.00300148
         267   -0.467606   -0.414296  0.00299692
         268   -0.375431   -0.414151  0.00298925
         269   -0.403133    -0.41411  0.00297841
         270    -0.40834   -0.414088  0.00296746
         271   -0.376737    -0.41395  0.00295971
         272   -0.401553   -0.413905  0.00294918
         273   -0.420715    -0.41393  0.00293848
         274   -0.406395   -0.413902  0.00292788
         275    -0.50398    -0.41423   0.0029355
         276   -0.460599   -0.414398  0.00292967
         277   -0.395303   -0.414329  0.00291991
         278   -0.448859   -0.414453  0.00291204
         279   -0.482883   -0.414698  0.00291192
         280   -0.469608   -0.414894  0.00290811
         281    -0.43625    -0.41497  0.00289876
         282   -0.380081   -0.414847  0.00289112
         283   -0.318075   -0.414505  0.00290105
         284   -0.387868   -0.414411  0.00289235
         285    -0.38956   -0.414324  0.00288352
         286   -0.427657    -0.41437  0.00287381
         287   -0.377231   -0.414241  0.00286671
         288   -0.385192    -0.41414  0.00285853
         289   -0.377303   -0.414013  0.00285148
         290   -0.371444   -0.413866  0.00284542
         291   -0.424058   -0.413901  0.00283586
         292   -0.414041   -0.413901  0.00282615
         293   -0.494404   -0.414176  0.00282983
         294   -0.504879   -0.414485  0.00283697
         295   -0.428583   -0.414532  0.00282776
         296   -0.484655   -0.414769  0.00282811
         297   -0.443787   -0.414867  0.00282027
         298   -0.425861   -0.414904  0.00281105
         299   -0.441238   -0.414992  0.00280303
         300   -0.481492   -0.415214  0.00280244
         301   -0.460105   -0.415363  0.00279709
         302   -0.336187   -0.415101  0.00280009
         303   -0.359753   -0.414918   0.0027968
         304   -0.322137   -0.414613   0.0028042
         305    -0.47584   -0.414814  0.00280218
         306   -0.453522    -0.41494  0.00279588
         307   -0.479083   -0.415149  0.00279457
         308   -0.415694   -0.415151   0.0027855
         309   -0.355963   -0.414959  0.00278306
         310    -0.36626   -0.414802  0.00277851
         311   -0.327592   -0.414522  0.00278369
         312   -0.343141   -0.414293  0.00278416
         313    -0.43604   -0.414362  0.00277613
         314   -0.388934   -0.414281  0.00276847
         315    -0.37305    -0.41415  0.00276277
         316   -0.428964   -0.414197  0.00275443
         317   -0.469783   -0.414373  0.00275131
         318   -0.450589   -0.414487  0.00274502
         319    -0.38824   -0.414404  0.00273765
         320   -0.354982   -0.414219  0.00273538
         321   -0.421667   -0.414242  0.00272696
         322   -0.474934    -0.41443    0.002725
         323    -0.42337   -0.414458   0.0027167
         324   -0.342323   -0.414235  0.00271742
         325   -0.340935    -0.41401   0.0027184
         326   -0.394008   -0.413948  0.00271076
         327   -0.434315   -0.414011  0.00270318
         328   -0.346899   -0.413806  0.00270267
         329   -0.410683   -0.413797  0.00269448
         330   -0.441774   -0.413881  0.00268764
         331   -0.433877   -0.413942   0.0026802
         332   -0.365124   -0.413795  0.00267616
         333   -0.399579   -0.413752  0.00266847
         334   -0.338909   -0.413528  0.00266987
         335   -0.379919   -0.413428  0.00266378
         336   -0.392211   -0.413365   0.0026566
         337   -0.467829   -0.413526  0.00265363
         338   -0.493409   -0.413762  0.00265628
         339   -0.443957   -0.413852  0.00264994
         340   -0.362193     -0.4137   0.0026465
         341   -0.377762   -0.413594  0.00264084
         342    -0.32271   -0.413328  0.00264645
         343   -0.337225   -0.413107  0.00264802
         344   -0.366985   -0.412973  0.00264371
         345   -0.380334   -0.412878  0.00263774
         346   -0.500319   -0.413131   0.0026422
         347   -0.500607   -0.413383  0.00264658
         348    -0.50296    -0.41364  0.00265147
         349   -0.471091   -0.413805  0.00264897
         350   -0.352558    -0.41363  0.00264718
         351    -0.26044   -0.413193  0.00267537
         352   -0.365089   -0.413057  0.00267126
         353   -0.375745   -0.412951  0.00266578
         354   -0.375312   -0.412845  0.00266037
         355   -0.355695   -0.412684  0.00265775
         356   -0.380134   -0.412592  0.00265185
