#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         312     1.00154      1.0005 2.58477e-05
         313     1.00155     1.00051 2.59807e-05
         314     1.00156     1.00051 2.61141e-05
         315     1.00157     1.00051 2.62477e-05
         316     1.00158     1.00052 2.63817e-05
         317     1.00159     1.00052  2.6516e-05
         318      1.0016     1.00052 2.66505e-05
         319     1.00161     1.00053 2.67854e-05
         320     1.00162     1.00053 2.69206e-05
         321     1.00163     1.00053 2.70561e-05
         322     1.00165     1.00054 2.71919e-05
         323     1.00166     1.00054  2.7328e-05
         324     1.00167     1.00054 2.74644e-05
         325     1.00168     1.00055 2.76011e-05
         326     1.00169     1.00055 2.77382e-05
         327      1.0017     1.00055 2.78755e-05
         328     1.00171     1.00056 2.80131e-05
         329     1.00172     1.00056 2.81511e-05
         330     1.00173     1.00056 2.82893e-05
         331     1.00175     1.00057 2.84279e-05
         332     1.00176     1.00057 2.85668e-05
         333     1.00177     1.00058 2.87059e-05
         334     1.00178     1.00058 2.88454e-05
         335     1.00179     1.00058 2.89852e-05
         336      1.0018     1.00059 2.91253e-05
         337     1.00181     1.00059 2.92657e-05
         338     1.00182     1.00059 2.94064e-05
         339     1.00184      1.0006 2.95474e-05
         340     1.00185      1.0006 2.96887e-05
         341     1.00186      1.0006 2.98304e-05
         342     1.00187     1.00061 2.99723e-05
         343     1.00188     1.00061 3.01145e-05
         344     1.00189     1.00062 3.02571e-05
         345     1.00191     1.00062    3.04e-05
         346     1.00192     1.00062 3.05432e-05
         347     1.00193     1.00063 3.06867e-05
         348     1.00194     1.00063 3.08305e-05
         349     1.00195     1.00063 3.09746e-05
         350     1.00197     1.00064  3.1119e-05
         351     1.00198     1.00064 3.12637e-05
         352     1.00199     1.00065 3.14088e-05
         353       1.002     1.00065 3.15542e-05
         354     1.00201     1.00065 3.16998e-05
         355     1.00203     1.00066 3.18458e-05
         356     1.00204     1.00066 3.19922e-05
         357     1.00205     1.00067 3.21388e-05
         358     1.00206     1.00067 3.22857e-05
         359     1.00208     1.00067  3.2433e-05
         360     1.00209     1.00068 3.25806e-05
         361      1.0021     1.00068 3.27285e-05
         362     1.00211     1.00068 3.28767e-05
         363     1.00213     1.00069 3.30252e-05
         364     1.00214     1.00069  3.3174e-05
         365     1.00215      1.0007 3.33232e-05
         366     1.00216      1.0007 3.34727e-05
         367     1.00218      1.0007 3.36225e-05
         368     1.00219     1.00071 3.37726e-05
         369      1.0022     1.00071  3.3923e-05
         370     1.00222     1.00072 3.40738e-05
         371     1.00223     1.00072 3.42248e-05
         372     1.00224     1.00073 3.43762e-05
         373     1.00226     1.00073 3.45279e-05
         374     1.00227     1.00073   3.468e-05
         375     1.00228     1.00074 3.48323e-05
         376     1.00229     1.00074  3.4985e-05
         377     1.00231     1.00075  3.5138e-05
         378     1.00232     1.00075 3.52913e-05
         379     1.00233     1.00075 3.54449e-05
         380     1.00235     1.00076 3.55989e-05
         381     1.00236     1.00076 3.57532e-05
         382     1.00237     1.00077 3.59078e-05
         383     1.00239     1.00077 3.60628e-05
         384      1.0024     1.00078  3.6218e-05
         385     1.00242     1.00078 3.63736e-05
         386     1.00243     1.00078 3.65295e-05
         387     1.00244     1.00079 3.66858e-05
         388     1.00246     1.00079 3.68423e-05
         389     1.00247      1.0008 3.69992e-05
         390     1.00248      1.0008 3.71565e-05
         391      1.0025     1.00081  3.7314e-05
         392     1.00251     1.00081 3.74719e-05
         393     1.00253     1.00081 3.76301e-05
         394     1.00254     1.00082 3.77886e-05
         395     1.00255     1.00082 3.79475e-05
         396     1.00257     1.00083 3.81067e-05
         397     1.00258     1.00083 3.82662e-05
         398      1.0026     1.00084 3.84261e-05
         399     1.00261     1.00084 3.85863e-05
         400     1.00262     1.00085 3.87468e-05
         401     1.00264     1.00085 3.89076e-05
         402     1.00265     1.00085 3.90688e-05
         403     1.00267     1.00086 3.92303e-05
         404     1.00268     1.00086 3.93922e-05
         405      1.0027     1.00087 3.95544e-05
         406     1.00271     1.00087 3.97169e-05
         407     1.00273     1.00088 3.98797e-05
         408     1.00274     1.00088 4.00429e-05
         409     1.00276     1.00089 4.02064e-05
         410     1.00277     1.00089 4.03703e-05
         411     1.00279     1.00089 4.05344e-05
         412      1.0028      1.0009  4.0699e-05
         413     1.00282      1.0009 4.08638e-05
         414     1.00283     1.00091  4.1029e-05
         415     1.00285     1.00091 4.11945e-05
         416     1.00286     1.00092 4.13604e-05
         417     1.00288     1.00092 4.15266e-05
         418     1.00289     1.00093 4.16932e-05
