#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         459     0.77637    0.811891   0.0129585
         460    0.775327    0.811812   0.0129305
         461    0.774302    0.811731   0.0129028
         462    0.773292    0.811647   0.0128751
         463      0.7723    0.811562   0.0128476
         464    0.771327    0.811476   0.0128202
         465    0.770372    0.811387   0.0127929
         466    0.769437    0.811297   0.0127658
         467    0.768524    0.811206   0.0127388
         468    0.767633    0.811113   0.0127119
         469    0.766765    0.811018   0.0126851
         470     0.76592    0.810922   0.0126585
         471      0.7651    0.810825    0.012632
         472    0.764304    0.810726   0.0126056
         473    0.763534    0.810626   0.0125794
         474    0.762788    0.810525   0.0125532
         475    0.762069    0.810423   0.0125272
         476    0.761377     0.81032   0.0125013
         477    0.760711    0.810216   0.0124756
         478    0.760073    0.810112   0.0124499
         479    0.759464    0.810006   0.0124244
         480    0.758883    0.809899   0.0123989
         481    0.758331    0.809792   0.0123736
         482    0.757808    0.809684   0.0123484
         483    0.757315    0.809576   0.0123233
         484    0.756852    0.809467   0.0122983
         485     0.75642    0.809357   0.0122735
         486    0.756017    0.809248   0.0122487
         487    0.755644    0.809138    0.012224
         488    0.755302    0.809027   0.0121995
         489     0.75499    0.808917    0.012175
         490    0.754709    0.808806   0.0121507
         491    0.754459    0.808696   0.0121265
         492     0.75424    0.808585   0.0121023
         493    0.754052    0.808474   0.0120783
         494    0.753896    0.808364   0.0120543
         495    0.753772    0.808253   0.0120305
         496     0.75368    0.808143   0.0120067
         497     0.75362    0.808034   0.0119831
         498    0.753591    0.807924   0.0119595
         499    0.753596    0.807816    0.011936
         500    0.753634    0.807707   0.0119127
         501    0.753705    0.807599   0.0118894
         502    0.753808    0.807492   0.0118662
         503    0.753944    0.807386   0.0118431
         504    0.754112     0.80728     0.01182
         505    0.754314    0.807175   0.0117971
         506    0.754548    0.807071   0.0117742
         507    0.754815    0.806968   0.0117515
         508    0.755117    0.806866   0.0117288
         509    0.755453    0.806765   0.0117062
         510    0.755822    0.806665   0.0116836
         511    0.756225    0.806566   0.0116612
         512    0.756663    0.806469   0.0116388
         513    0.757135    0.806373   0.0116165
         514    0.757641    0.806278   0.0115943
         515    0.758183    0.806185   0.0115722
         516     0.75876    0.806093   0.0115501
         517    0.759372    0.806002   0.0115281
         518    0.760019    0.805914   0.0115062
         519      0.7607    0.805826   0.0114844
         520    0.761416    0.805741   0.0114626
         521    0.762166    0.805657   0.0114409
         522    0.762952    0.805576   0.0114193
         523    0.763772    0.805496   0.0113977
         524    0.764626    0.805418   0.0113762
         525    0.765514    0.805342   0.0113548
         526    0.766434    0.805268   0.0113335
         527    0.767388    0.805196   0.0113122
         528    0.768375    0.805126    0.011291
         529    0.769395    0.805059   0.0112699
         530    0.770448    0.804993   0.0112488
         531    0.771533     0.80493   0.0112278
         532    0.772649     0.80487   0.0112068
         533    0.773794    0.804811    0.011186
         534    0.774969    0.804755   0.0111652
         535    0.776172    0.804702   0.0111444
         536    0.777403    0.804651   0.0111237
         537     0.77866    0.804603   0.0111031
         538    0.779942    0.804557   0.0110826
         539    0.781248    0.804514   0.0110621
         540    0.782576    0.804473   0.0110417
         541    0.783926    0.804435   0.0110213
         542    0.785297      0.8044   0.0110011
         543    0.786686    0.804367   0.0109809
         544    0.788093    0.804337   0.0109607
         545    0.789515     0.80431   0.0109406
         546    0.790951    0.804285   0.0109206
         547      0.7924    0.804264   0.0109007
         548    0.793859    0.804245   0.0108808
         549    0.795326    0.804228    0.010861
         550      0.7968    0.804215   0.0108413
         551     0.79828    0.804204   0.0108216
         552    0.799761    0.804196    0.010802
         553    0.801244    0.804191   0.0107825
         554    0.802726    0.804188    0.010763
         555    0.804206    0.804188   0.0107436
         556    0.805682    0.804191   0.0107243
         557    0.807151    0.804196    0.010705
         558    0.808613    0.804204   0.0106858
         559    0.810064    0.804215   0.0106667
         560    0.811503    0.804228   0.0106477
         561    0.812931    0.804243   0.0106287
         562    0.814343    0.804261   0.0106098
         563    0.815738    0.804281    0.010591
         564    0.817115    0.804304   0.0105723
         565    0.818473    0.804329   0.0105536
         566    0.819809    0.804357    0.010535
         567    0.821123    0.804386   0.0105164
         568    0.822413    0.804418    0.010498
         569    0.823678    0.804452   0.0104796
         570    0.824917    0.804488   0.0104612
         571    0.826127    0.804526    0.010443
         572    0.827309    0.804565   0.0104248
         573    0.828462    0.804607   0.0104067
         574    0.829586    0.804651   0.0103887
         575    0.830679    0.804696   0.0103707
         576     0.83174    0.804743   0.0103528
         577     0.83277    0.804791    0.010335
         578    0.833768    0.804842   0.0103172
         579    0.834735    0.804893   0.0102995
         580    0.835668    0.804946   0.0102819
         581     0.83657    0.805001   0.0102643
         582     0.83744    0.805056   0.0102468
         583    0.838277    0.805113   0.0102294
         584    0.839083    0.805172   0.0102121
         585    0.839859    0.805231   0.0101948
         586    0.840604    0.805291   0.0101776
         587    0.841318    0.805353   0.0101604
         588    0.842003    0.805415   0.0101433
         589    0.842658    0.805478   0.0101263
         590    0.843284    0.805542   0.0101094
         591    0.843883    0.805607   0.0100925
         592    0.844454    0.805673   0.0100756
         593    0.844998    0.805739   0.0100588
         594    0.845517    0.805806   0.0100421
         595    0.846011    0.805874   0.0100255
         596    0.846483    0.805942   0.0100089
         597    0.846931     0.80601  0.00999237
         598    0.847359     0.80608  0.00997589
         599    0.847767    0.806149  0.00995948
         600    0.848158    0.806219  0.00994313
         601    0.848531     0.80629  0.00992684
         602    0.848887     0.80636   0.0099106
         603    0.849228    0.806431  0.00989442
         604    0.849555    0.806503  0.00987829
         605    0.849869    0.806574  0.00986223
         606    0.850171    0.806646  0.00984621
         607    0.850463    0.806719  0.00983026
         608    0.850744    0.806791  0.00981436
         609    0.851015    0.806864  0.00979851
         610    0.851279    0.806936  0.00978272
         611    0.851535    0.807009  0.00976698
         612    0.851785    0.807083  0.00975129
         613    0.852031    0.807156  0.00973566
         614    0.852274    0.807229  0.00972008
         615    0.852514    0.807303  0.00970456
         616    0.852753    0.807377  0.00968908
         617     0.85299    0.807451  0.00967366
         618    0.853226    0.807525  0.00965829
         619    0.853462    0.807599  0.00964297
         620    0.853698    0.807673  0.00962771
         621    0.853936    0.807748  0.00961249
         622    0.854176    0.807823  0.00959733
         623    0.854419    0.807897  0.00958221
         624    0.854665    0.807972  0.00956715
         625    0.854915    0.808047  0.00955214
         626     0.85517    0.808123  0.00953717
         627     0.85543    0.808198  0.00952226
         628    0.855697    0.808274   0.0095074
         629     0.85597     0.80835  0.00949259
         630    0.856249    0.808426  0.00947782
         631    0.856536    0.808502  0.00946311
         632    0.856831    0.808578  0.00944845
         633    0.857133    0.808655  0.00943383
         634    0.857444    0.808732  0.00941927
         635    0.857765    0.808809  0.00940475
         636    0.858094    0.808887  0.00939028
         637    0.858434    0.808964  0.00937586
         638    0.858783    0.809043  0.00936149
         639    0.859143    0.809121  0.00934717
         640    0.859512      0.8092   0.0093329
         641    0.859892    0.809279  0.00931867
         642    0.860283    0.809358  0.00930449
         643    0.860683    0.809438  0.00929037
         644    0.861094    0.809518  0.00927629
